,DATETIME,4-2-0,4-2-1,4-2-2,4-2-3,4-2-4,4-2-5,4-2-6,4-2-7,4-2-8,4-2-9,4-2-10,TEMP,MAX,MIN,RH
0,2022-01-01 00:00:00,33.0,72.0,57.0,84.0,54.0,42.0,48.0,15.0,66.0,51.0,15.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
1,2022-01-01 01:00:00,21.0,54.0,42.0,57.0,39.0,30.0,33.0,12.0,54.0,39.0,9.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
2,2022-01-01 02:00:00,24.0,42.0,27.0,42.0,33.0,30.0,21.0,9.0,33.0,36.0,9.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
3,2022-01-01 03:00:00,18.0,39.0,24.0,42.0,24.0,21.0,15.0,9.0,33.0,30.0,9.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
4,2022-01-01 04:00:00,15.0,33.0,21.0,33.0,21.0,21.0,18.0,9.0,27.0,27.0,9.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
5,2022-01-01 05:00:00,18.0,33.0,21.0,36.0,24.0,21.0,15.0,9.0,30.0,21.0,9.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
6,2022-01-01 06:00:00,18.0,30.0,24.0,42.0,21.0,24.0,21.0,18.0,30.0,27.0,9.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
7,2022-01-01 07:00:00,27.0,42.0,36.0,63.0,30.0,33.0,30.0,30.0,48.0,36.0,12.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
8,2022-01-01 08:00:00,36.0,63.0,45.0,81.0,42.0,45.0,45.0,36.0,66.0,54.0,18.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
9,2022-01-01 09:00:00,36.0,81.0,54.0,93.0,51.0,48.0,48.0,39.0,63.0,54.0,15.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
10,2022-01-01 10:00:00,36.0,93.0,51.0,84.0,51.0,60.0,45.0,39.0,72.0,54.0,18.0,13.388888888888893,16.722222222222225,11.38888888888889,80.83531674097067
